,reviewer_id,listing_id,rating,location,facilities,service,mood,host,negative,positive,all_rating
0,8C0B42FF3C0FA366A21CFD785302A032,93338,5,1,1,1,1,1,1.533333333,9.466666667,"5,1,1,1,1,1"
1,E3C85CA9DBBBC77E0DB534ABE93E4713,93338,5,1,1,1,1,1,5,14.42857143,"5,1,1,1,1,1"
2,FB1032DECE1162CB3556D05F278AAFFD,1762573,4,1,1,1,1,1,1.888888889,8.777777778,"4,1,1,1,1,1"
3,EC3E275EE7590694889C8C7EE0D13961,1762573,4,1,1,1,1,1,2.789473684,10.10526316,"4,1,1,1,1,1"
4,BA524A238B1171206691A6CC3F28F266,1762573,4,1,1,1,1,1,2.65,8.625,"4,1,1,1,1,1"
5,B766E25C73F354AC433EF628F3ACD23B,1776857,5,1,1,1,1,1,1,5.875,"5,1,1,1,1,1"
6,0BCA612BCCBA8C065FD9A9C09D27CA53,1776857,5,1,1,1,1,1,2.230769231,7.846153846,"5,1,1,1,1,1"
7,BB4AB5B542FDB3E543FE3AEE01F159B3,1641016,5,1,1,1,1,1,2.857142857,11.5,"5,1,1,1,1,1"
8,400210E0882D6A1212C0CC91CC54CE5A,1641016,5,1,1,1,1,1,0.333333333,7.666666667,"5,1,1,1,1,1"
9,EC6CB11E9DC8761710DDA3CF48DD995F,1456560,4,1,1,1,1,1,2.416666667,14.58333333,"4,1,1,1,1,1"
10,10BE07B397D5814F9ECCC875B1BA96C9,1456560,5,1,1,1,1,1,1,13,"5,1,1,1,1,1"
11,E530271FD1F16DF31858BD6C7BABD559,93396,5,1,1,1,1,1,2.052631579,8.263157895,"5,1,1,1,1,1"
12,D7C43AEC4609560C8BE39C6B95EA3137,80112,4,1,1,1,1,1,2.611111111,11.27777778,"4,1,1,1,1,1"
13,2A66F1FFC377F8CFB078A122A4DDC3E5,80112,4,1,1,1,1,1,2.5,11.66666667,"4,1,1,1,1,1"
14,680AA74DAD6C294713EEF38D09B0625D,93559,5,1,1,1,1,1,0.6,11.4,"5,1,1,1,1,1"
15,1599EC7EFF037E47A251CB5F20ACCAA9,93559,5,1,1,1,1,1,0.4,11.6,"5,1,1,1,1,1"
17,035080D10D186778123E6A58C11E0608,93338,5,1,1,1,1,1,1.625,8.666666667,"5,1,1,1,1,1"
18,412A714D6BF1607A01CC828645DD70AE,93338,5,1,1,1,1,1,2.193548387,8.258064516,"5,1,1,1,1,1"
19,72B051F423790BE5F0EF6A9FD23EB77E,93338,5,1,1,1,1,1,3,10.66666667,"5,1,1,1,1,1"
20,4DD6C4346D4768ADE814D7A01E956BB7,93338,5,1,1,1,1,1,1.666666667,8.555555556,"5,1,1,1,1,1"
21,B20F8339DA7EEBDE0D00D17B3889A49B,1762573,4,1,1,1,1,1,2.545454545,6.818181818,"4,1,1,1,1,1"
22,851AD5B3B4127850A9292129C156D704,1762573,4,1,1,1,1,1,2.976744186,8.465116279,"4,1,1,1,1,1"
23,C81AB7D49D98FA410EA191E15F427BEC,1762573,4,1,1,1,1,1,3.4,7.5,"4,1,1,1,1,1"
24,366C2E5D586E37518A3FD2B8483A80F2,1762573,5,1,1,1,1,1,2.727272727,11.54545455,"5,1,1,1,1,1"
25,897F7031651B0AF7E2D3DA0DE6C9F5DC,1776857,5,1,1,1,1,1,2.052631579,8.157894737,"5,1,1,1,1,1"
26,7F1CB995A20B415891C8D159E77BF45A,1776857,4,1,1,1,1,1,2.333333333,9.833333333,"4,1,1,1,1,1"
27,31D355E9E630021C6F6AA26AF0B21B2F,1776857,5,1,1,1,1,1,1.8,12.2,"5,1,1,1,1,1"
28,9E8791D169CC0B56544F98A527134F3F,1776857,4,1,1,1,1,1,2.153846154,13.69230769,"4,1,1,1,1,1"
29,E8836BD65A23C9B4AE2378B6A0FBD8DA,1641016,1,-1,-1,-1,-1,-1,4.64,4.36,"1,-1,-1,-1,-1,-1"
30,806A10A82E677C7C839BF3BF8FEFDD49,1641016,5,1,1,1,1,1,2.5,10.66666667,"5,1,1,1,1,1"
31,EAB83334840F4A5E67B63014365C08DF,1641016,4,1,1,1,1,1,1.090909091,10.36363636,"4,1,1,1,1,1"
32,AADDD41750B01317890FA1289D729E13,1456560,4,1,1,1,1,1,1.25,10.25,"4,1,1,1,1,1"
33,F14F36C885BB72A15E5B1E0B9E69A1D5,1456560,5,1,1,1,1,1,1.833333333,9.833333333,"5,1,1,1,1,1"
34,2404E3630B78BB9E8D6583076FBA0742,1456560,4,1,1,1,1,1,2.857142857,9.238095238,"4,1,1,1,1,1"
35,CA52BC704F2704F07D8CBC18C1026F28,1456560,4,1,1,1,1,1,1.777777778,8.333333333,"4,1,1,1,1,1"
36,2F9E7F805508AFE232A1CC3756B96F57,93396,4,1,1,1,1,1,2.647058824,9.882352941,"4,1,1,1,1,1"
37,02A11BB7955AB06151BD287B8936428D,93396,5,1,1,1,1,1,1,13.75,"5,1,1,1,1,1"
38,212787FEB4E7A223D38277943BCA6E55,93396,3,1,1,1,1,1,1.46875,3,"3,1,1,1,1,1"
39,9C31979384B47871E3A84D9926E59022,93396,5,1,1,1,1,1,2.25,13.5,"5,1,1,1,1,1"
40,4181CB58721207009B44553439F14774,80112,5,1,1,1,1,1,2.25,10.8,"5,1,1,1,1,1"
41,1BBD0A79D3F59310BF1E27B1A1AAA2C2,80112,4,1,1,1,1,1,3.764705882,9.352941176,"4,1,1,1,1,1"
42,778C6B99E36FBB66D1BFD3DB7127BF03,80112,5,1,1,1,1,1,2.133333333,10.93333333,"5,1,1,1,1,1"
43,FE92BB08AD3B93A1F0B896B58A0D8A8A,80112,5,1,1,1,1,1,3.642857143,10.07142857,"5,1,1,1,1,1"
44,1C3058217CAD890E6B27242B025C0B17,93559,2,1,1,1,1,1,2.736842105,4.263157895,"2,1,1,1,1,1"
45,4BB401C33EDE53071EF70A37FAE59541,93559,5,1,1,1,1,1,2.444444444,13.33333333,"5,1,1,1,1,1"
46,E8DD911D4A8E3AECF4C88839882595ED,93559,5,1,1,1,1,1,2.095238095,9.238095238,"5,1,1,1,1,1"
47,5347AE82E82E777411938589FD841AB8,93559,5,1,1,1,1,1,3.714285714,10.85714286,"5,1,1,1,1,1"
48,95EB37F9B57C64F4FEB2616A39EBFEA3,93338,5,1,1,1,1,1,1.833333333,17.5,"5,1,1,1,1,1"
49,062A9A6CCFF95A334A79C4603A61FE3E,93338,4,1,1,1,1,1,2.85,12.1,"4,1,1,1,1,1"
50,1242FAD3171B3DDBBC23668931DA59FA,93338,4,1,1,1,1,1,0.5,10.875,"4,1,1,1,1,1"
51,5BDE061662C56F0F142CAFE3CEF4EC9B,93338,5,1,1,1,1,1,1.473684211,8.263157895,"5,1,1,1,1,1"
52,D54F6DF08D89AB767E60EE4900BE56B5,1762573,4,1,1,1,1,1,1.333333333,8.666666667,"4,1,1,1,1,1"
53,9B48FBAB4BDE94E70C9B930C97DFC441,1762573,4,1,1,1,1,1,2,9.75,"4,1,1,1,1,1"
54,F27424D23185EADC841E88448893CEE4,1762573,5,1,1,1,1,1,2.875,11.875,"5,1,1,1,1,1"
55,5CAA923D06C9892A80894E6E2428D1D1,1776857,5,1,1,1,1,1,1.833333333,17.16666667,"5,1,1,1,1,1"
56,3EDE444A4965FFA669B4585B0F1F097E,1776857,5,1,1,1,1,1,1.846153846,13.15384615,"5,1,1,1,1,1"
57,ADA4B29F08DCEDB2D5AA6BF2BD12BA51,1776857,5,1,1,1,1,1,2.125,16.625,"5,1,1,1,1,1"
58,3EEDD1A1669F47EA758E35FA687F8D2B,1641016,4,1,1,1,1,1,4.666666667,10.16666667,"4,1,1,1,1,1"
59,D54503B8EC8D6806161A0FF91BD286EA,1641016,1,-1,-1,-1,-1,-1,5.714285714,5.714285714,"1,-1,-1,-1,-1,-1"
60,F673E75A2587F49F713C0E6CF6E4E860,1641016,5,1,1,1,1,1,2.444444444,14.55555556,"5,1,1,1,1,1"
61,061DAD363387C0F7EB1C0B99807F3713,1456560,4,1,1,1,1,1,2.2,12.97142857,"4,1,1,1,1,1"
62,B17B8F2DBF9D2A9C670F060D9532549C,1456560,4,1,1,1,1,1,2,10.5,"4,1,1,1,1,1"
63,CB305280F19E1630D97E7F46E7B4FACC,1456560,5,1,1,1,1,1,2.045454545,10.63636364,"5,1,1,1,1,1"
64,3DC4E95B8A3E5D881441FF09C5B62788,93396,5,1,1,1,1,1,2.076923077,12.07692308,"5,1,1,1,1,1"
65,B33480740B773884A5BA1021E97FD594,93396,4,1,1,1,1,1,3.09375,11.78125,"4,1,1,1,1,1"
66,F44FD8A5C6C05F1A2560D7558E2E2934,93396,5,1,1,1,1,1,1.583333333,10.83333333,"5,1,1,1,1,1"
67,274C380F8392ADDC4BB8984DBD6E9003,80112,5,1,1,1,1,1,2.8,12.8,"5,1,1,1,1,1"
68,A42A4113990C22F9E540FFC1A7F3FB3D,80112,5,1,1,1,1,0,2.4,11.6,"5,1,1,1,1,0"
69,3AC77DB1D382EA9B6B2ACCE5D9B92E5A,80112,5,1,1,1,1,1,3.714285714,5.142857143,"5,1,1,1,1,1"
70,57867662FE1F44518545B6742EF298B6,80112,5,1,1,1,1,1,1.857142857,14.42857143,"5,1,1,1,1,1"
71,A35B270229DF79EADF4CE59C69654C92,93559,5,1,1,1,1,1,2.85,10.05,"5,1,1,1,1,1"
72,9FBDF67CC35D744221B2D8D896717873,93559,5,1,1,1,1,1,1.5,6.5,"5,1,1,1,1,1"
73,0D302F9486AD564E1951A4E33C425297,93559,5,1,1,1,1,1,1.85,10.7,"5,1,1,1,1,1"
74,93204D751F8796489DB9807AE98C2979,1776857,5,1,1,1,1,1,3.964285714,5.5,"5,1,1,1,1,1"
75,86B83BAFC005AEBC1982CE470CECF220,1641016,1,1,1,1,1,1,3.44,4.52,"1,1,1,1,1,1"
76,2B339FA8D855F46E81757D5AD4B3769D,1641016,5,1,1,1,1,1,2.565217391,11.86956522,"5,1,1,1,1,1"
77,844A2D48C83AACAEA31CBFBA027646FF,1456560,5,1,1,1,1,1,2.043478261,8.652173913,"5,1,1,1,1,1"
78,13DEB375FDF90BC7243F5F7F8D74FE52,93396,5,1,1,1,1,1,0.666666667,9.333333333,"5,1,1,1,1,1"
79,EE50FED026CF09F69734E9923A65C8D7,93396,5,1,1,1,1,1,2.75,10,"5,1,1,1,1,1"
80,5877A34A7FB6C823671A76AA69C17AAD,93559,5,1,1,1,1,1,1,5.666666667,"5,1,1,1,1,1"
81,4BB57082D20CEB709C55AF1A38FD6BEB,93559,5,1,1,1,1,1,1.833333333,14,"5,1,1,1,1,1"
82,46C6569704E45A0583C96D4DB0C601CE,93559,5,1,1,1,1,1,2,7,"5,1,1,1,1,1"
83,D9949B9443D4AA560DF648DBD7DA652F,80112,4,1,1,1,1,1,1.5,10.875,"4,1,1,1,1,1"
84,4454C9A05D90AECF88DE0B2EB0197ED9,80112,4,1,1,1,1,1,1,8.8,"4,1,1,1,1,1"
85,2E201EE8885392BDB2175E52ECC5C28E,93396,5,1,1,1,1,1,3,9.666666667,"5,1,1,1,1,1"
